method,rollout_batch,mean_population_reward,population_reward_se,mean_relative_improvement_pct,relative_improvement_pct_se,sequences_per_update,responses_per_rollout
Raw,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0,512.0,8192.0
Raw,1.0,0.26436852401465577,0.005144299167467238,176.0561487277437,5.371726537292379,512.0,8192.0
Raw,2.0,0.3518200915957443,0.007297116598349909,267.37391447394504,7.619719149493368,512.0,8192.0
Raw,3.0,0.3954414658755239,0.008210264684546517,312.9237719343583,8.57323714046105,512.0,8192.0
Raw,4.0,0.4167119939141907,0.009081662993812219,335.1346613495986,9.483159613873282,512.0,8192.0
Raw,5.0,0.4318910305825824,0.009469897628158154,350.9847570434457,9.888557943193005,512.0,8192.0
Raw,6.0,0.442681784545914,0.009684274351146587,362.25256584212417,10.112412173743463,512.0,8192.0
Raw,7.0,0.4551613774213169,0.009343079559744977,375.28387643295287,9.75613329965529,512.0,8192.0
Raw,8.0,0.46055531238892927,0.00977296164335625,380.91627506738473,10.205020295000494,512.0,8192.0
PPO masked,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0,512.0,8192.0
PPO masked,1.0,0.12301588180467674,0.00015524425502336356,28.454363808695284,0.16210754027390048,512.0,8192.0
PPO masked,2.0,0.1565071331482955,0.00024220909310636567,63.42624972609646,0.25291705840925344,512.0,8192.0
PPO masked,3.0,0.19604802274010869,0.0003265791990979538,104.7152259333387,0.341017132404818,512.0,8192.0
PPO masked,4.0,0.24016259943400078,0.000407850153150902,150.78009008560605,0.42588104221748,512.0,8192.0
PPO masked,5.0,0.2857307565880388,0.000532090131938775,198.36279689780946,0.5556136198381635,512.0,8192.0
PPO masked,6.0,0.33014979665837074,0.0005871162094757833,244.7455846283162,0.6130723778392433,512.0,8192.0
PPO masked,7.0,0.37044820390296906,0.0005720663310027054,286.825568035075,0.5973571503718905,512.0,8192.0
PPO masked,8.0,0.40379656411779047,0.0005481543475181616,321.64824566510464,0.5723880278419384,512.0,8192.0
ESS fitted,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0,512.0,8192.0
ESS fitted,1.0,0.18599748357556378,0.0008065315148469627,94.22035652805427,0.8421879444463014,512.0,8192.0
ESS fitted,2.0,0.3117458446326671,0.0009750017399988582,225.52800138340518,1.018106169598362,512.0,8192.0
ESS fitted,3.0,0.3927225257143649,0.0005458760288467918,310.08462853667777,0.5700089856305517,512.0,8192.0
ESS fitted,4.0,0.43308772126059913,0.0004175323733548107,352.23435292867083,0.435991309430973,512.0,8192.0
ESS fitted,5.0,0.457742074298203,0.0002970052783169988,377.9786648670986,0.3101357606378937,512.0,8192.0
ESS fitted,6.0,0.4741911156948402,0.0002679994595980387,395.15491168068337,0.2798476064936145,512.0,8192.0
ESS fitted,7.0,0.48629681330211944,0.00028110261214325924,407.795797245952,0.2935300440731548,512.0,8192.0
ESS fitted,8.0,0.49611157008328105,0.0003031798227131666,418.0444604247681,0.3165832791256087,512.0,8192.0
ESS count transfer,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0,512.0,8192.0
ESS count transfer,1.0,0.21546705602096025,0.00239975178144374,124.99276676202899,2.5058438297714147,512.0,8192.0
ESS count transfer,2.0,0.3431714855139806,0.0035819134182417086,258.3429570417255,3.7402683507860326,512.0,8192.0
ESS count transfer,3.0,0.4052657176505798,0.004121845663805364,323.1823498768794,4.304070780896668,512.0,8192.0
ESS count transfer,4.0,0.4381417658862028,0.004440034002696175,357.51183480758357,4.6363260965839705,512.0,8192.0
ESS count transfer,5.0,0.45866208455098617,0.004646955046154415,378.9393483982411,4.852395035050494,512.0,8192.0
ESS count transfer,6.0,0.47344479633657316,0.004787870977768253,394.3755978477223,4.999540802575911,512.0,8192.0
ESS count transfer,7.0,0.4841892512284573,0.004896480242930589,405.59506071187207,5.11295163909139,512.0,8192.0
ESS count transfer,8.0,0.4928475722914903,0.004989484446817712,414.6361626207237,5.210067520931942,512.0,8192.0
ESS fixed 0.1,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0,512.0,8192.0
ESS fixed 0.1,1.0,0.25306615160264584,0.0029368276744796765,164.2541030372622,3.0666636291730818,512.0,8192.0
ESS fixed 0.1,2.0,0.36221274757755273,0.003912428811269788,278.2260255415672,4.085395694650577,512.0,8192.0
ESS fixed 0.1,3.0,0.41433506185224817,0.004280485673435698,332.65264608982835,4.469724200704902,512.0,8192.0
ESS fixed 0.1,4.0,0.443121154840062,0.0045234043000930415,362.7113605179274,4.7233821608542765,512.0,8192.0
ESS fixed 0.1,5.0,0.4626596064071237,0.0046880261951857335,383.1135990665965,4.895281922843461,512.0,8192.0
ESS fixed 0.1,6.0,0.47606050958863805,0.004819882699302502,397.1069507167241,5.032967749273996,512.0,8192.0
ESS fixed 0.1,7.0,0.4858698187537385,0.004921294893313211,407.349925442593,5.138863335055136,512.0,8192.0
ESS fixed 0.1,8.0,0.4940125224251449,0.005015011945996367,415.8526147250549,5.236723580446499,512.0,8192.0
