initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_test_value,raw_final_test,ppo_final_test,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,minimum_raw_rho,minimum_raw_effective_count,minimum_ppo_rho,raw_peak_drop,transition_visible,score
1.2,4,2,1912,0.1689227278777497,0.1723701304874997,0.8656612919933122,0.3382915272995656,0.8786773135697681,-0.5403857862702025,-0.0030343382324063972,20,40,0.1054491631430752,0.4217966525723008,0.9281731310578556,0.5273697646937466,0.0,53.73514480377961
1.05,4,2,1912,0.1689227278777497,0.1723701304874997,0.8423815621934049,0.330296690068445,0.8665307505454386,-0.5362340604769936,-0.0042397922604678895,20,40,0.17603480605599203,0.7041392242239681,0.9389424349034969,0.5120848721249599,0.0,53.19942682165257
1.2,4,1,956,0.1689227278777497,0.1723701304874997,0.8656612919933122,0.3426285578722547,0.8693554313423342,-0.5267268734700794,-0.0030343382324063972,20,40,0.16725712315291502,0.6690284926116601,0.9281731310578556,0.5230327341210574,0.0,52.3692535237673
1.0,4,2,1912,0.1689227278777497,0.1723701304874997,0.8321805320630867,0.42045610629220775,0.8628658204834263,-0.44240971419121855,-0.006171014866239943,20,40,0.3411257252858208,1.3645029011432832,0.8779907658622419,0.411724425770879,0.0,43.62386993249786
1.0,4,1,956,0.1689227278777497,0.1723701304874997,0.8321805320630867,0.4109438639143591,0.8526216310477481,-0.441677767133389,-0.006171014866239943,20,40,0.3411257252858208,1.3645029011432832,0.8779907658622419,0.4212366681487276,0.0,43.55067522671491
1.05,4,1,956,0.1689227278777497,0.1723701304874997,0.8423815621934049,0.4210974668363855,0.8582673078576427,-0.4371698410212572,-0.0042397922604678895,20,40,0.17603480605599203,0.7041392242239681,0.9389424349034969,0.4212840953570194,0.0,43.29300487607893
1.25,4,2,1912,0.1689227278777497,0.1723701304874997,0.8715592486144839,0.45167856978507254,0.8835532948568596,-0.4318747250717871,-0.0028244109081433377,20,40,0.27882573302551383,1.1153029321020553,0.8906691460213055,0.4198806788294113,0.0,42.90503141636438
1.15,4,1,956,0.1689227278777497,0.1723701304874997,0.8589333429753235,0.504863210597177,0.8662083073213005,-0.3613450967241235,-0.0023483475530811093,20,40,0.04580639199057422,0.1832255679622969,0.9248424777471158,0.35407013237814655,0.0,35.899674917104235
1.25,4,1,956,0.1689227278777497,0.1723701304874997,0.8715592486144839,0.5144180033703195,0.8714968703851262,-0.35707886701480673,-0.0028244109081433377,20,40,0.27882573302551383,1.1153029321020553,0.8906691460213055,0.35714124524416435,0.0,35.425445610666344
1.15,4,2,1912,0.1689227278777497,0.1723701304874997,0.8589333429753235,0.5471359398853781,0.8742916391802751,-0.32715569929489696,-0.0023483475530811093,20,40,0.04580639199057422,0.1832255679622969,0.9248424777471158,0.3117974030899454,0.0,32.48073517418158
1.1,4,2,1912,0.1689227278777497,0.1723701304874997,0.8512308550922029,0.6011575680719948,0.8720643047597016,-0.2709067366877068,-0.0040808248076087406,20,40,0.4598621664519665,1.839448665807866,0.9025686753324548,0.25007328702020803,0.0,26.682591188009805
1.1,4,1,956,0.1689227278777497,0.1723701304874997,0.8512308550922029,0.6392217491575223,0.8638773678370253,-0.224655618679503,-0.0040808248076087406,20,40,0.46856230133700283,1.8742492053480113,0.9025686753324548,0.2120091059346806,0.0,22.057479387189424
1.0,4,1,956,0.14,0.1723701304874997,0.8321805320630867,0.6575646931991248,0.8500600294066982,-0.19249533620757342,-0.004108658277815258,20,40,0.56081647453521,2.24326589814084,0.9433125403658181,0.17461583886396193,0.0,18.838667792975816
1.0,4,2,1912,0.14,0.1723701304874997,0.8321805320630867,0.6692461314434848,0.859653381439375,-0.1904072499958902,-0.004108658277815258,20,40,0.56081647453521,2.24326589814084,0.9433125403658181,0.16293440061960196,0.0,18.629859171807496
1.05,4,1,956,0.14,0.1723701304874997,0.8423815621934049,0.7218733755506903,0.8573373341409989,-0.13546395859030858,-0.0028813513087585507,20,40,0.7058680144332596,2.8234720577330386,0.9564553339270676,0.12050818664271457,0.0,13.258260728155003
1.05,4,2,1912,0.14,0.1723701304874997,0.8423815621934049,0.7460143142573025,0.864621413610409,-0.11860709935310654,-0.0028813513087585507,20,40,0.7058680144332596,2.8234720577330386,0.9564553339270676,0.09636724793610241,0.0,11.5725748044348
0.9,4,2,1912,0.1689227278777497,0.1723701304874997,0.8067083482427954,0.7409029350315721,0.8521464879506023,-0.11124355291903021,-0.006988870493443877,20,40,0.6949961855597161,2.7799847422388644,0.9409026944193062,0.07529515604369641,0.0,10.425468242558633
1.2,4,1,956,0.14,0.1723701304874997,0.8656612919933122,0.7820908181807598,0.8702804254640265,-0.08818960728326675,-0.0016379574159494092,20,40,0.6400971927344029,2.5603887709376116,0.9652878563720879,0.08357047381255245,0.0,8.655164986731734
0.9,4,1,956,0.1689227278777497,0.1723701304874997,0.8067083482427954,0.7521412847507185,0.8415987471221721,-0.08945746237145358,-0.006988870493443877,20,40,0.6949961855597161,2.7799847422388644,0.9409026944193062,0.06405680632455002,0.0,8.24685918780097
1.2,4,2,1912,0.14,0.1723701304874997,0.8656612919933122,0.8565029108096629,0.8779640918193976,-0.02146118100973471,-0.0016379574159494092,20,40,0.6400971927344029,2.5603887709376116,0.9652878563720879,0.009158381183649311,0.0,1.98232235937853
1.25,4,1,956,0.14,0.1723701304874997,0.8715592486144839,0.8581147063475552,0.8736073497370416,-0.015492643389486416,-0.0019482252980325132,20,40,0.6186368700358289,2.4745474801433156,0.9598349294094686,0.013444542266928705,0.0,1.3544418091453903
1.15,4,1,956,0.14,0.1723701304874997,0.8589333429753235,0.8605613403252697,0.8663069887024181,-0.005745648377148416,-0.001588829307548667,20,40,0.7041530259672873,2.8166121038691494,0.95826135700468,0.0015186116910715919,0.0,0.41568190695997487
1.15,4,1,956,0.1,0.1723701304874997,0.8589333429753235,0.8629623328252991,0.8655530650400809,-0.002590732214781788,-0.00025177744291193793,20,40,0.9289301759570086,3.715720703828034,0.978294481942622,0.00010248459342665495,0.0,0.233895477186985
1.25,4,1,956,0.1,0.1723701304874997,0.8715592486144839,0.8716163896963488,0.8747200252608384,-0.0031036355644895597,-0.0009539967630921575,20,40,0.945685279568597,3.782741118274388,0.9819946940800783,0.0004929494517954547,0.0,0.21496388013974022
1.2,4,1,956,0.1,0.1723701304874997,0.8656612919933122,0.867259611317872,0.8700809807658579,-0.002821369447985944,-0.0008329048698013652,20,40,0.9330986881063088,3.732394752425235,0.9828076170076521,0.0010531893058608466,0.0,0.1988464578184579
1.25,8,1,478,0.1689227278777497,0.1723701304874997,0.8715592486144839,0.8725053265030839,0.8742643096596534,-0.0017589831565695269,-0.0005624669611863364,20,40,0.9622379903187512,7.69790392255001,0.9869392301910391,0.0001908682972550091,0.0,0.11965161953831904
1.2,8,1,478,0.1689227278777497,0.1723701304874997,0.8656612919933122,0.8679108742873582,0.8696294418792648,-0.0017185675919065835,-0.0006400435817018879,20,40,0.9550251886697476,7.640201509357981,0.9849180651954941,0.0004590544377262029,0.0,0.10785240102046956
1.15,8,1,478,0.1689227278777497,0.1723701304874997,0.8589333429753235,0.8628729192922222,0.8645455636046127,-0.0016726443123904478,-0.0006495900112657438,20,40,0.9495092437016621,7.596073949613297,0.9851819229564163,0.0,0.0,0.1023054301124704
1.25,8,2,956,0.14,0.1723701304874997,0.8715592486144839,0.8770722233467666,0.8781342517293871,-0.0010620283826204835,-8.907303439653624e-05,120,880,0.968613426082283,7.748907408658264,0.9898055187456759,0.00048528043466100623,0.0,0.09729553482239472
1.15,8,1,478,0.14,0.1723701304874997,0.8589333429753235,0.8627822883146357,0.8638877579188126,-0.0011054696041769008,-0.0002510466983343118,20,40,0.9616430630937582,7.693144504750066,0.9874895470130657,0.0,0.0,0.0854422905842589
1.25,16,2,478,0.1689227278777497,0.1723701304874997,0.8715592486144839,0.8749743268978285,0.87601073359625,-0.0010364066984215325,-0.0001830456518405743,60,80,0.9827893382305462,15.724629411688738,0.9941769547190338,0.0003491343920736245,0.0,0.08533610465809582
1.25,16,2,478,0.14,0.1723701304874997,0.8715592486144839,0.8744145952667853,0.8754124367795347,-0.0009978415127493978,-0.00018376549921028662,60,80,0.9857504287889446,15.772006860623113,0.9954626238575035,0.0002665573027688106,0.0,0.08140760135391112
1.25,8,2,956,0.1,0.1723701304874997,0.8715592486144839,0.875569515226782,0.8764792789361493,-0.0009097637093673505,-0.00019067191671973127,120,880,0.9774040036394144,7.819232029115315,0.9931901663794989,0.0004299963575113974,0.0,0.07190917926476192
1.25,8,1,478,0.14,0.1723701304874997,0.8715592486144839,0.872898036682502,0.8739505854059975,-0.0010525487234954722,-0.000413996990316301,20,40,0.9713763060658493,7.771010448526795,0.9898055187456759,0.0,0.0,0.06385517331791712
